Number,Content
0,옛날 옛날에 한 불가사리가 여름잠에서 막 깨어났습니다
1,
2,'아이쿠! 물고기들은 같이 다니는 친구들이 많구나.. 좋겠다..'
3,
4,'조개는 예쁜 진주를 만들 수 있네.. 난 쓸모없는 것 같아'
5,불가사리는 다른 바다친구들과 자신을 비교하며 자신감을 잃었습니다
6,
7,'오잉 가자미가 어디로 갔지?'
8,
9,다른 바다친구들에 비해 필요없는 존재라고 느낀 불가사리는
10,자신을 필요로 하는 곳을 찾아 떠나기로 다짐했습니다
11,
12,육지로 올라 온 불가사리는 바닷 속에서 항상 바라보던 별에게로 달려갔습니다
13,
14,별을 동경하던 불가사리는 별들 속 빈 공간에 올라가보았습니다
15,곧 게임이 시작됩니다! 준비됐나요?
16,
17,흥 너는 우리처럼 빛이 나지 않잖아! 별이 될 수 없어'
18,아름답게 빛나는 별들은 불가사리를 무시하며 떨어뜨렸습니다
19,
20,하늘에서 떨어진 불가사리는
21,크리스마스를 준비하던 집의 굴뚝으로 떨어지고 말았습니다
22,
23,크리스마스 트리 위에 있던 별모양 전구를 발견한 불가사리는
24,혹시나 하는 마음에 전구를 향해 열심히 올라가보았습니다
25,
26,'저리가! 너는 나처럼 예쁘지 않아서 어울리지 않아'
27,예쁜 전구는 불가사리를 무시하며 떨어뜨렸습니다
28,
29,육지에서도 필요없는 존재라고 생각하며 바다로 돌아온 불가사리는
30,자신이 없는 사이에 더러워진 바닷가를 보았습니다
31,
32,'이제 내가 바닷가를 깨끗하게 치울 수 있겠다!'
33,곧 게임이 시작됩니다! 준비됐나요?
34,
35,'나한테는 바다를 깨끗하게 할 수 있는 능력이 있구나..!'
36,불가사리는 자신에게 바다를 정화시키는 능력이 있다는 것을 알게되었습니다
37,
38,바닷가를 깨끗하게 만든 불가사리는
39,뿌듯한 마음을 가득 안고 바닷속으로 돌아왔습니다
40,
41,"'다시 돌아와서 다행이야, 우리는 너가 필요해!'"
42,
43,'너가 없으니까 바다가 너무 더러웠어 다시 돌아와줘서 고마워!'
44,
45,'우린 너가 없으면 살 수 없어 너는 소중한 불가사리야'
46,
47,'우리가 무시해서 미안해 우리는 모두 필요한 존재야!'
48,
49,"불가사리는 별처럼 빛을 낼 수 없어도,"
50,"전구처럼 예쁘지 않아도, 누군가에게 필요한 존재였습니다"
51,
52,불가사리는 비로소 자신이 얼마나 소중한 존재인지 깨달았습니다
53,
